node,scale,throughput,load,collision,lost
8,0.00095,113219.19,953625.26,100,0
9,0.00095,0,953625.26,54.545455,0
0,0.00095,126092.66,953625.26,95.454545,0
1,0.00095,-1765.9169,953625.26,40.909091,0
2,0.00095,133853.4,953625.26,100,0
3,0.00095,189611.46,953625.26,95.918367,0
4,0.00095,77.452497,953625.26,93.023256,0
5,0.00095,0,953625.26,56.521739,0
6,0.00095,84020.468,953625.26,100,0
7,0.00095,217486.61,953625.26,89.130435,0
8,0.00095,18598.926,953625.26,98.648649,0
9,0.00095,216.86699,953625.26,46.153846,0
0,0.00095,201.10134,953625.26,85.294118,0
1,0.00095,-42633.484,953625.26,70,0
2,0.00095,85562.705,953625.26,100,0
3,0.00095,117455.01,953625.26,97.777778,0
4,0.00095,0,953625.26,84.848485,0
5,0.00095,0,953625.26,69.230769,0
6,0.00095,128704.86,953625.26,100,0
7,0.00095,43390.571,953625.26,100,0
8,0.00095,100045.94,953625.26,100,0
9,0.00095,0,953625.26,93.75,0
0,0.00095,17363.552,953625.26,92.105263,0
1,0.00095,141555.77,953625.26,86.363636,0
2,0.00095,34970.427,953625.26,100,0
3,0.00095,79664.054,953625.26,95.555556,0
4,0.00095,35466.807,953625.26,95.121951,0
5,0.00095,0,953625.26,93.75,0
6,0.00095,62271.303,953625.26,87.878788,0
7,0.00095,106653.48,953625.26,95.918367,0
8,0.00095,117366.19,953625.26,100,0
9,0.00095,33559.152,953625.26,64.285714,0
0,0.00095,28713.136,953625.26,91.428571,0
1,0.00095,-1234.9736,953625.26,50,0
2,0.00095,57884.063,953625.26,100,0
3,0.00095,164400.53,953625.26,95.121951,0
4,0.00095,19056.92,953625.26,97.142857,0
5,0.00095,0,953625.26,87.5,0
6,0.00095,19610.529,953625.26,100,0
7,0.00095,219846.59,953625.26,97.619048,0
8,0.00095,38440.327,953625.26,98.181818,0
9,0.00095,0,953625.26,47.619048,0
0,0.00095,48365.144,953625.26,86.111111,0
1,0.00095,-1478.4912,953625.26,56.521739,0
2,0.00095,75587.864,953625.26,100,0
3,0.00095,201924.94,953625.26,95.121951,0
4,0.00095,33654.157,953625.26,100,0
5,0.00095,0,953625.26,90,0
6,0.00095,40834.08,953625.26,90.47619,0
7,0.00095,401576.7,953625.26,100,0
8,0.00095,63842.073,953625.26,96.825397,0
9,0.00095,-1071.9061,953625.26,28,0
0,0.00095,65569.368,953625.26,92.5,0
1,0.00095,65119.4,953625.26,52.173913,0
2,0.00095,130508.78,953625.26,97.619048,0
3,0.00095,154762.07,953625.26,87.5,0
4,0.00095,49010.538,953625.26,100,0
5,0.00095,0,953625.26,36.363636,0
6,0.00095,8108.4272,953625.26,95.652174,0
7,0.00095,292839.31,953625.26,100,0
8,0.00095,43736.91,953625.26,100,0
9,0.00095,0,953625.26,36,0
0,0.00095,-41.800579,953625.26,95.121951,0
1,0.00095,-585.2081,953625.26,55.555556,0
2,0.00095,82963.699,953625.26,98.863636,0
3,0.00095,208334.08,953625.26,100,0
4,0.00095,0,953625.26,100,0
5,0.00095,-794.211,953625.26,90,0
6,0.00095,56681.585,953625.26,100,0
7,0.00095,189983.63,953625.26,100,0
8,0.00095,75603.314,953625.26,100,0
9,0.00095,-627.00868,953625.26,52.631579,0
0,0.00095,50198.524,953625.26,92.307692,0
1,0.00095,-630.26212,953625.26,65.217391,0
2,0.00095,126404.63,953625.26,100,0
3,0.00095,184203.37,953625.26,100,0
4,0.00095,25043.651,953625.26,97.674419,0
5,0.00095,148.29697,953625.26,72.222222,0
6,0.00095,59328.056,953625.26,100,0
7,0.00095,209145.07,953625.26,98,0
8,0.00095,67586.343,953625.26,98.387097,0
9,0.00095,0,953625.26,45.833333,0
0,0.00095,-160.19127,953625.26,91.891892,0
1,0.00095,0,953625.26,73.684211,0
2,0.00095,96798.247,953625.26,100,0
3,0.00095,95281.77,953625.26,100,0
4,0.00095,28855.788,953625.26,100,0
5,0.00095,0,953625.26,61.111111,0
6,0.00095,39001.236,953625.26,97.674419,0
7,0.00095,184145.21,953625.26,95,0
8,0.00095,51560.232,953625.26,100,0
9,0.00095,-38189.6,953625.26,55,0
0,0.00095,41535.974,953625.26,85.365854,0
1,0.00095,32880.378,953625.26,90.47619,0
2,0.00095,214103.52,953625.26,100,0
3,0.00095,32390.438,953625.26,100,0
4,0.00095,99983.931,953625.26,97.674419,0
5,0.00095,-33823.965,953625.26,33.333333,0
6,0.00095,65833.339,953625.26,94.871795,0
